,Condição de Atividade,Cor/Raça,Idade,Nível de instrução mais elevado,Número de componentes na família,Região,Renda,Rendimento de Aposentadoria,Trabalhou na semana de referência
2,Economicamente Ativa,Branca,65,Fundamental incompleto ou equivalente,2.0,Norte,2362.0,724.0,Sim
4, Não Economicamente Ativa,Preta,90,Sem instrução,5.0,Norte,444.0,724.0,Não
6,Economicamente Ativa,Branca,65,Médio completo ou equivalente,2.0,Norte,2862.0,724.0,Sim
10, Não Economicamente Ativa,Parda,62,Fundamental incompleto ou equivalente,2.0,Norte,1321.0,724.0,Não
11,Economicamente Ativa,Parda,71,Fundamental incompleto ou equivalente,2.0,Norte,762.0,724.0,Sim
12, Não Economicamente Ativa,Parda,67,Sem instrução,1.0,Norte,724.0,724.0,Não
14,Economicamente Ativa,Parda,63,Fundamental incompleto ou equivalente,3.0,Norte,874.0,724.0,Sim
15, Não Economicamente Ativa,Parda,49,Sem instrução,2.0,Norte,525.0,850.0,Não
18, Não Economicamente Ativa,Branca,89,Sem instrução,4.0,Norte,793.0,1200.0,Não
19, Não Economicamente Ativa,Preta,67,Sem instrução,3.0,Norte,358.0,724.0,Não
20,Economicamente Ativa,Branca,77,Sem instrução,2.0,Norte,1162.0,724.0,Sim
22,Economicamente Ativa,Branca,63,Fundamental incompleto ou equivalente,2.0,Norte,1174.0,724.0,Sim
24,Economicamente Ativa,Parda,66,Sem instrução,2.0,Norte,724.0,724.0,Sim
26,Economicamente Ativa,Branca,69,Sem instrução,2.0,Norte,910.0,724.0,Sim
28,Economicamente Ativa,Parda,68,Sem instrução,2.0,Norte,1274.0,724.0,Sim
30,Economicamente Ativa,Branca,40,Sem instrução,3.0,Norte,999999999999.0,999999999999.0,Sim
36,Economicamente Ativa,Parda,64,Sem instrução,3.0,Norte,965.0,724.0,Não
38,Economicamente Ativa,Branca,72,Fundamental incompleto ou equivalente,3.0,Norte,1041.0,1200.0,Sim
40,Economicamente Ativa,Parda,68,Sem instrução,1.0,Norte,724.0,724.0,Não
41,Economicamente Ativa,Branca,72,Sem instrução,2.0,Norte,724.0,724.0,Não
44,Economicamente Ativa,Parda,72,Fundamental incompleto ou equivalente,3.0,Norte,674.0,724.0,Sim
47,Economicamente Ativa,Branca,62,Fundamental incompleto ou equivalente,3.0,Norte,957.0,724.0,Sim
50, Não Economicamente Ativa,Branca,69,Fundamental incompleto ou equivalente,2.0,Norte,724.0,724.0,Não
52,Economicamente Ativa,Parda,64,Fundamental incompleto ou equivalente,2.0,Norte,4462.0,724.0,Sim
55, Não Economicamente Ativa,Parda,68,Médio completo ou equivalente,3.0,Norte,1316.0,724.0,Não
58, Não Economicamente Ativa,Parda,55,Sem instrução,2.0,Norte,724.0,724.0,Não
